customer_id,age,tenure_months,income,city,plan_type,num_purchases,support_tickets,satisfaction_score,monthly_spend,churn
174,56,27,50467.0,Colombo,Basic,8,0,8.7,757.01,0
175,54,64,54276.0,Colombo,Standard,11,3,5.1,815.73,0
176,42,7,50106.0,Colombo,Premium,0,1,7.4,635.89,1
177,56,54,56107.0,Negombo,Basic,7,1,5.0,853.92,0
178,26,54,,Kandy,Basic,12,1,7.7,624.83,1
179,65,28,66151.0,Kandy,Basic,11,2,7.7,896.88,0
180,44,19,53636.0,Galle,Premium,7,1,7.1,779.79,0
181,67,1,60892.0,Galle,Standard,0,1,9.6,800.02,0
182,26,68,35383.0,Negombo,Basic,7,0,6.9,533.73,0
183,44,69,52491.0,Jaffna,Basic,12,3,6.5,857.72,0
184,54,18,55828.0,Kandy,Basic,2,0,8.0,690.33,0
185,44,3,40511.0,Kandy,Basic,0,1,7.3,446.71,0
186,41,9,47142.0,Negombo,Basic,3,0,7.9,633.35,0
187,26,5,40872.0,Galle,Basic,3,1,7.5,482.2,0
188,38,60,40502.0,Negombo,Basic,16,0,9.0,720.43,0
189,30,65,42639.0,Colombo,Basic,9,1,9.1,709.14,0
190,33,12,34421.0,Jaffna,Basic,6,1,7.4,440.66,0
191,54,54,62717.0,Galle,Premium,16,1,8.4,945.42,0
192,51,13,60538.0,Colombo,Premium,7,1,6.6,803.17,0
193,50,27,50985.0,Galle,Basic,6,2,7.7,713.29,0
194,37,44,47531.0,Galle,Premium,7,0,7.1,673.74,0
195,68,52,47940.0,Colombo,Standard,7,0,9.3,749.25,0
196,22,63,30162.0,Kandy,Basic,7,0,10.0,518.12,0
197,36,4,43037.0,Jaffna,Basic,2,1,7.3,584.25,0
198,24,15,31767.0,Colombo,Basic,2,1,4.8,435.03,0
199,35,21,48536.0,Kandy,Basic,4,2,6.1,674.16,0
200,68,23,74384.0,Kandy,Premium,7,0,9.5,976.13,0
6,63,20,59976.0,Colombo,Basic,5,3,5.6,846.49,0
43,55,7,46957.0,Colombo,Premium,3,1,4.9,612.66,1
101,62,27,54423.0,Jaffna,Basic,5,0,7.5,721.32,0
